poblacion	madre	clon	sierra	elevacion	size
AGI	1	13	bejar	baja	61.28
AGI	1	14	bejar	baja	31.73
AGI	2	1	bejar	baja	71.69
AGI	2	2	bejar	baja	69.87
AGI	3	1	bejar	baja	47.73
AGI	3	4	bejar	baja	95.77
AGI	4	6	bejar	baja	43.49
AGI	4	9	bejar	baja	33.34
AGI	5	6	bejar	baja	40.46
AGI	5	8	bejar	baja	42.62
AGI	6	5	bejar	baja	59.46
AGI	7	1	bejar	baja	50.8
AGI	7	7	bejar	baja	38.4
AGI	8	1	bejar	baja	75.74
AGI	8	5	bejar	baja	64.37
AGI	9	13	bejar	baja	45.89
AGI	9	19	bejar	baja	68.05
AGI	10	6	bejar	baja	48.37
AGI	11	9	bejar	baja	65.12
AGI	12	7	bejar	baja	64.93
AGI	13	2	bejar	baja	43.57
AGI	13	6	bejar	baja	45.15
AGI	14	1	bejar	baja	51.9
AGI	14	2	bejar	baja	52.56
AGI	17	1	bejar	baja	60.44
AGI	18	3	bejar	baja	65.95
AGI	18	13	bejar	baja	55.37
AGI	19	1	bejar	baja	58.71
AGI	19	3	bejar	baja	63.23
AGI	20	2	bejar	baja	38.33
AGI	20	5	bejar	baja	77.89
AGI	21	6	bejar	baja	63.91
AGI	21	7	bejar	baja	46.79
AGI	22	11	bejar	baja	52.41
AGI	22	15	bejar	baja	38.1
AGI	23	2	bejar	baja	50.03
AGI	23	12	bejar	baja	50.9
AGI	24	1	bejar	baja	45
AGI	25	7	bejar	baja	49.39
AGI	26	1	bejar	baja	15
AGI	27	7	bejar	baja	46.6
AGI	28	2	bejar	baja	26.41
AGI	28	3	bejar	baja	41.38
AGI	29	2	bejar	baja	42.6
AGI	29	10	bejar	baja	55.38
AGI	30	9	bejar	baja	33.41
AGI	30	10	bejar	baja	41.21
AGI	31	2	bejar	baja	28.75
AGI	32	3	bejar	baja	51.65
AGI	32	5	bejar	baja	39.63
AGI	33	5	bejar	baja	75.87
AGI	33	10	bejar	baja	29
AGI	34	2	bejar	baja	65
AGI	34	5	bejar	baja	48.65
AGI	35	1	bejar	baja	66.46
AGI	37	5	bejar	baja	81.7
AGI	37	7	bejar	baja	55.76
AGI	38	2	bejar	baja	57.76
AGI	38	3	bejar	baja	91.24
AGI	39	1	bejar	baja	72.58
AGI	39	6	bejar	baja	100.41
AGI	40	3	bejar	baja	62.24
AGI	40	7	bejar	baja	66.09
AGI	41	2	bejar	baja	52.93
AGI	41	5	bejar	baja	59.02
AGI	42	3	bejar	baja	76.4
AGI	43	2	bejar	baja	59.07
AGI	43	5	bejar	baja	71.12
AGI	44	5	bejar	baja	103.5
AGI	44	7	bejar	baja	66.62
AGI	45	5	bejar	baja	36.42
AGI	45	7	bejar	baja	79.8
AGI	46	3	bejar	baja	70.15
AGI	46	4	bejar	baja	61.4
AGI	47	8	bejar	baja	64.5
AGI	47	12	bejar	baja	84.09
AGI	48	2	bejar	baja	112.49
AGI	49	2	bejar	baja	69.37
AGI	49	3	bejar	baja	62.45
CAM	5	1	gredos	baja	42.74
CAM	13	1	gredos	baja	60.36
CAM	13	2	gredos	baja	NA
CAM	14	1	gredos	baja	23.5
CAM	14	2	gredos	baja	52.37
CAM	18	2	gredos	baja	40.75
CAM	18	3	gredos	baja	53.65
