moun	pop	blo	class	time	nail	pos	size		
bej	agi	B13	1	1	3	5	6		
bej	agi	B13	1	1	3	9	4.5		
bej	agi	B13	1	1	3	10	4.3		
bej	agi	B13	1	1	7	5	4.5		
bej	agi	B13	1	1	8	8	4.3		
bej	agi	B13	1	1	11	3	11		
bej	agi	B13	1	1	11	10	1.3		
bej	agi	B13	1	1	13	3	11.6		
bej	agi	B13	1	1	13	5	10.3		
bej	agi	B13	1	1	16	3	8.2		
bej	agi	B13	1	1	16	6	2.7		
bej	agi	B13	1	1	16	8	3.7		
bej	agi	B13	1	1	21	6	7.6		
bej	agi	B13	1	1	21	10	4.3		
bej	agi	B13	1	1	31	2	4.4		
bej	agi	B13	1	1	35	1	5.8		
bej	agi	B13	1	1	37	10	1.5		
bej	agi	B13	1	1	45	4	6.5		
bej	agi	B13	1	1	48	8	4.7		
bej	agi	B13	1	1	52	10	5.2		
bej	agi	B13	1	1	54	1	3.6		
bej	agi	B13	1	1	55	1	3.7		
bej	agi	B13	1	1	63	3	5.4		
bej	agi	B13	1	1	63	4	7.5		
bej	agi	B13	1	1	64	1	4.1		
bej	agi	B13	1	1	64	8	3.6		
bej	agi	B13	1	1	66	10	5.8		
bej	agi	B13	1	1	70	6	4.1		
bej	agi	B13	1	1	70	7	5.2		
bej	agi	B13	1	1	72	10	3.5		
bej	agi	B13	1	1	74	8	6.5		
bej	agi	B13	1	1	82	8	4.6		
bej	agi	B13	1	1	83	2	5.1		
bej	agi	B13	1	1	83	3	4.1		
bej	agi	B13	1	1	83	5	3.8		
bej	agi	B13	1	1	83	9	9.2		
bej	agi	B13	1	1	87	3	2.3		
bej	agi	B13	1	1	90	4	5.4		
bej	agi	B13	1	1	90	5	5.3		
bej	agi	B13	1	1	91	3	4.1		
bej	agi	B13	1	1	92	2	5.2		
bej	agi	B13	1	1	97	4	1.9		
bej	agi	B13	1	1	99	9	6.1		
bej	agi	B13	1	1	100	9	11.8		
bej	agi	B13	1	1	100	1	6.7		
bej	agi	B14	1	1	5	1	5.3		
bej	agi	B14	1	1	7	7	2.8		
bej	agi	B14	1	1	15	10	4.7		
bej	agi	B14	1	1	16	2	7.2		
bej	agi	B14	1	1	19	7	5.8		
bej	agi	B14	1	1	23	2	8.5		
bej	agi	B14	1	1	31	6	5.6		
bej	agi	B14	1	1	37	1	4.6		
bej	agi	B14	1	1	49	6	4.7		
bej	agi	B14	1	1	52	6	5.6		
bej	agi	B14	1	1	52	7	4.8		
bej	agi	B14	1	1	55	3	6		
bej	agi	B14	1	1	61	8	6		
bej	agi	B14	1	1	73	3	4.2		
bej	agi	B14	1	1	75	3	5.8		
bej	agi	B14	1	1	79	3	4		
bej	agi	B14	1	1	79	8	6.4		
bej	agi	B14	1	1	87	9	6.2		
bej	agi	B14	1	1	87	10	10.1		
bej	agi	B14	1	1	93	7	5.4		
bej	agi	B15	1	1	2	1	2.5		
bej	agi	B15	1	1	38	6	2.2		
bej	agi	B15	1	1	55	3	2.8		
bej	agi	B15	1	1	61	7	4.5		
bej	agi	B15	1	1	69	2	3.7		
bej	agi	B15	1	1	71	2	3.4		
bej	agi	B15	1	1	71	4	3.8		
bej	agi	B15	1	1	74	7	3.7		
bej	agi	B15	1	1	79	9	6.4		
bej	agi	B15	1	1	82	1	3		
bej	agi	B15	1	1	90	2	6		
bej	agi	B15	1	1	90	4	3.1		
bej	agi	B16	1	1	1	4	3.3		
bej	agi	B16	1	1	3	9	5.1		
bej	agi	B16	1	1	5	4	6.6		
bej	agi	B16	1	1	5	7	7.1		
bej	agi	B16	1	1	9	1	2.8		
bej	agi	B16	1	1	12	4	4.7		
bej	agi	B16	1	1	17	4	3.4		
bej	agi	B16	1	1	18	2	5.3		
bej	agi	B16	1	1	18	7	7.2		
bej	agi	B16	1	1	18	8	9.3		
bej	agi	B16	1	1	21	4	3.9		
bej	agi	B16	1	1	21	5	3		
bej	agi	B16	1	1	21	6	4.6		
bej	agi	B16	1	1	21	8	4.8		
bej	agi	B16	1	1	25	2	5.9		
bej	agi	B16	1	1	26	7	4.9		
bej	agi	B16	1	1	31	3	6.2		
bej	agi	B16	1	1	33	3	8.3		
bej	agi	B16	1	1	36	2	5.7		
bej	agi	B16	1	1	36	5	5.4		
bej	agi	B16	1	1	38	7	7.8		
bej	agi	B16	1	1	41	3	4.8		
bej	agi	B16	1	1	41	5	6.9		
bej	agi	B16	1	1	43	2	5.5		
bej	agi	B16	1	1	43	7	3.2		
bej	agi	B16	1	1	43	9	2.7		
bej	agi	B16	1	1	45	4	5.4		
bej	agi	B16	1	1	46	2	5.9		
bej	agi	B16	1	1	47	6	7.2		
bej	agi	B16	1	1	49	7	7.6		
bej	agi	B16	1	1	51	8	6.3		
bej	agi	B16	1	1	52	4	6.2		
bej	agi	B16	1	1	55	1	3.8		
bej	agi	B16	1	1	55	2	4.5		
bej	agi	B16	1	1	57	3	6.4		
bej	agi	B16	1	1	57	9	3.6		
bej	agi	B16	1	1	58	7	8.4		
bej	agi	B16	1	1	58	10	3.1		
bej	agi	B16	1	1	60	10	4.9		
bej	agi	B16	1	1	68	9	6		
bej	agi	B16	1	1	69	4	3.6		
bej	agi	B16	1	1	69	10	6.7		
bej	agi	B16	1	1	70	7	2.4		
bej	agi	B16	1	1	73	2	4.5		
bej	agi	B16	1	1	79	7	5.2		
bej	agi	B16	1	1	79	8	5.9		
bej	agi	B16	1	1	83	8	6.7		
bej	agi	B16	1	1	83	10	5.5		
bej	agi	B16	1	1	85	2	4.8		
bej	agi	B16	1	1	85	7	5.5		
bej	agi	B16	1	1	85	8	6.3		
bej	agi	B16	1	1	99	10	6.6		
bej	agi	B16	1	1	100	3	5.3		
bej	rui	B10	1	1	2	3	7.3		
bej	rui	B10	1	1	6	8	6.5		
bej	rui	B10	1	1	10	9	6.5		
bej	rui	B10	1	1	10	10	3.2		
bej	rui	B10	1	1	11	6	4.2		
bej	rui	B10	1	1	13	9	5		
bej	rui	B10	1	1	14	5	3.5		
bej	rui	B10	1	1	14	10	7.7		
bej	rui	B10	1	1	15	8	4.2		
bej	rui	B10	1	1	17	2	4		
bej	rui	B10	1	1	17	5	7		
bej	rui	B10	1	1	17	6	1.3		
bej	rui	B10	1	1	17	8	8.4		
bej	rui	B10	1	1	17	9	5.1		
bej	rui	B10	1	1	17	10	6		
bej	rui	B10	1	1	19	5	5.5		
bej	rui	B10	1	1	19	6	2.7		
bej	rui	B10	1	1	19	7	7.7		
bej	rui	B10	1	1	22	4	3.6		
bej	rui	B10	1	1	22	9	4.6		
bej	rui	B10	1	1	27	6	5.8		
bej	rui	B10	1	1	27	2	4.1		
bej	rui	B10	1	1	28	1	5.3		
bej	rui	B10	1	1	28	2	5.4		
bej	rui	B10	1	1	28	6	4.3		
bej	rui	B10	1	1	29	3	6.9		
bej	rui	B10	1	1	29	6	6.3		
bej	rui	B10	1	1	29	8	4.5		
bej	rui	B10	1	1	30	4	2.7		
bej	rui	B10	1	1	30	8	6.5		
bej	rui	B10	1	1	34	3	4.6		
bej	rui	B10	1	1	34	5	5.8		
bej	rui	B10	1	1	34	6	7.2		
bej	rui	B10	1	1	40	2	2.3		
bej	rui	B10	1	1	42	3	3.3		
bej	rui	B10	1	1	42	4	5		
bej	rui	B10	1	1	43	2	3.3		
bej	rui	B10	1	1	44	1	4		
bej	rui	B10	1	1	44	2	5.8		
bej	rui	B10	1	1	44	4	3.3		
bej	rui	B10	1	1	44	6	4.5		
bej	rui	B10	1	1	44	1	4		
bej	rui	B10	1	1	44	2	5.8		
bej	rui	B10	1	1	44	4	3.3		
bej	rui	B10	1	1	44	6	4.5		
bej	rui	B10	1	1	49	10	5.7		
bej	rui	B10	1	1	51	8	6.2		
bej	rui	B10	1	1	51	10	5.1		
bej	rui	B10	1	1	52	4	7.9		
bej	rui	B10	1	1	52	8	4.7		
bej	rui	B10	1	1	57	3	4.8		
bej	rui	B10	1	1	60	7	5.5		
bej	rui	B10	1	1	60	7	5.5		
bej	rui	B10	1	1	62	4	7.4		
bej	rui	B10	1	1	62	5	3.9		
bej	rui	B10	1	1	65	1	8		
bej	rui	B10	1	1	65	2	5.5		
bej	rui	B10	1	1	65	4	7.5		
bej	rui	B10	1	1	65	5	6.8		
bej	rui	B10	1	1	66	4	5.6		
bej	rui	B10	1	1	69	2	5.3		
bej	rui	B10	1	1	69	3	4		
bej	rui	B10	1	1	69	2	5.3		
bej	rui	B10	1	1	69	3	4		
bej	rui	B10	1	1	70	3	4.9		
bej	rui	B10	1	1	70	6	6.3		
bej	rui	B10	1	1	70	9	4		
bej	rui	B10	1	1	71	1	5.7		
bej	rui	B10	1	1	71	2	5.3		
bej	rui	B10	1	1	73	1	5.1		
bej	rui	B10	1	1	73	8	4.5		
bej	rui	B10	1	1	75	3	5.4		
bej	rui	B10	1	1	76	6	5		
bej	rui	B10	1	1	80	3	5.3		
bej	rui	B10	1	1	80	6	5.5		
bej	rui	B10	1	1	80	3	5.3		
bej	rui	B10	1	1	82	1	7.4		
bej	rui	B10	1	1	82	4	5.7		
bej	rui	B10	1	1	82	6	6		
bej	rui	B10	1	1	83	4	9.3		
bej	rui	B10	1	1	83	9	5.2		
bej	rui	B10	1	1	87	3	2.2		
bej	rui	B10	1	1	87	4	5.1		
bej	rui	B10	1	1	87	5	5.7		
bej	rui	B10	1	1	89	4	3.6		
bej	rui	B10	1	1	93	2	5.9		
bej	rui	B10	1	1	93	6	5.6		
bej	rui	B10	1	1	93	7	4.5		
bej	rui	B10	1	1	93	8	4.3		
bej	rui	B10	1	1	94	3	4.7		
bej	rui	B10	1	1	94	7	4.1		
bej	rui	B10	1	1	95	2	5.8		
bej	rui	B10	1	1	95	7	5.8		
bej	rui	B10	1	1	95	8	5.9		
bej	rui	B10	1	1	95	9	5.7		
bej	rui	B10	1	1	96	2	5.6		
bej	rui	B10	1	1	97	7	4.7		
bej	rui	B10	1	1	98	5	6.1		
bej	rui	B10	1	1	98	10	4.3		
bej	rui	B10	1	1	99	10	6.3		
bej	rui	B10	1	1	100	4	8		
bej	rui	B10	1	2	2	3	9.4		
bej	rui	B10	1	2	10	2	3.6		
bej	rui	B10	1	2	10	6	7.9		
bej	rui	B10	1	2	10	8	3.7		
bej	rui	B10	1	2	11	1	5.6		
bej	rui	B10	1	2	17	1	5.2		
bej	rui	B10	1	2	17	7	4.8		
bej	rui	B10	1	2	17	8	9.8		
bej	rui	B10	1	2	17	9	6.3		
bej	rui	B10	1	2	17	10	9.3		
bej	rui	B10	1	2	19	5	4.5		
bej	rui	B10	1	2	22	9	4.7		
bej	rui	B10	1	2	24	3	3.2		
bej	rui	B10	1	2	24	1	2.8		
bej	rui	B10	1	2	28	3	6.6		
bej	rui	B10	1	2	30	4	4.4		
bej	rui	B10	1	2	30	7	4.5		
bej	rui	B10	1	2	34	3	4.9		
bej	rui	B10	1	2	34	6	5.3		
bej	rui	B10	1	2	34	7	4.8		
bej	rui	B10	1	2	35	3	5.6		
bej	rui	B10	1	2	35	3	5.6		
bej	rui	B10	1	2	37	2	4.6		
bej	rui	B10	1	2	37	4	4.3		
bej	rui	B10	1	2	37	6	3.3		
bej	rui	B10	1	2	37	2	4.6		
bej	rui	B10	1	2	37	4	4.3		
bej	rui	B10	1	2	37	6	3.3		
bej	rui	B10	1	2	42	3	4.3		
bej	rui	B10	1	2	44	2	3		
bej	rui	B10	1	2	44	4	4.4		
bej	rui	B10	1	2	44	6	4.6		
bej	rui	B10	1	2	44	8	4		
bej	rui	B10	1	2	44	2	3		
bej	rui	B10	1	2	44	4	4.4		
bej	rui	B10	1	2	44	6	4.3		
bej	rui	B10	1	2	44	8	4		
bej	rui	B10	1	2	57	3	5.3		
bej	rui	B10	1	2	60	6	2.7		
bej	rui	B10	1	2	60	1	2.7		
bej	rui	B10	1	2	63	6	6.8		
bej	rui	B10	1	2	65	5	5		
bej	rui	B10	1	2	65	7	7.1		
bej	rui	B10	1	2	66	6	8		
bej	rui	B10	1	2	70	3	4.9		
bej	rui	B10	1	2	70	6	6.6		
bej	rui	B10	1	2	71	5	3.7		
bej	rui	B10	1	2	73	5	4.4		
bej	rui	B10	1	2	73	8	3.2		
bej	rui	B10	1	2	76	6	6.3		
bej	rui	B10	1	2	80	6	5.5		
bej	rui	B10	1	2	83	4	7.4		
bej	rui	B10	1	2	84	1	5.3		
bej	rui	B10	1	2	84	7	3.5		
bej	rui	B10	1	2	84	8	5		
bej	rui	B10	1	2	87	3	5.5		
bej	rui	B10	1	2	87	4	10.1		
bej	rui	B10	1	3	87	3	7.1		
bej	rui	B10	1	3	87	4	6.7		
bej	rui	B10	1	2	88	10	5.4		
bej	rui	B10	1	2	88	10	5.4		
bej	rui	B10	1	2	93	2	8.3		
bej	rui	B10	1	2	93	6	7.1		
bej	rui	B10	1	2	93	7	5.2		
bej	rui	B10	1	2	93	8	5		
bej	rui	B10	1	2	98	4	5.5		
bej	rui	B10	1	2	98	9	7.7		
bej	rui	B10	1	2	98	10	12.1		
bej	rui	B10	1	2	99	6	6.5		
bej	rui	B10	1	2	99	10	10		
bej	rui	B10	1	2	100	4	8.5		
bej	rui	B10	1	3	99	10	4.7		
bej	rui	B10	1	3	98	5	3.4		
bej	rui	B10	1	3	98	10	5.8		
bej	rui	B11	1	1	1	10	2.8		
bej	rui	B11	1	1	2	2	5.5		
bej	rui	B11	1	1	2	3	3.9		
bej	rui	B11	1	1	3	2	3.1		
bej	rui	B11	1	1	4	1	3.9		
bej	rui	B11	1	1	4	2	3		
bej	rui	B11	1	1	11	2	4.5		
bej	rui	B11	1	1	11	7	3.1		
bej	rui	B11	1	1	14	6	1.5		
bej	rui	B11	1	1	16	3	2.1		
bej	rui	B11	1	1	16	6	2.1		
bej	rui	B11	1	1	16	7	1.6		
bej	rui	B11	1	1	16	8	3.5		
bej	rui	B11	1	1	27	2	4		
bej	rui	B11	1	1	35	8	2.8		
bej	rui	B11	1	1	37	9	3.5		
bej	rui	B11	1	1	39	3	3.6		
bej	rui	B11	1	1	40	9	2.5		
bej	rui	B11	1	1	42	6	5		
bej	rui	B11	1	1	46	7	2.1		
bej	rui	B11	1	1	47	2	3.2		
bej	rui	B11	1	1	47	8	2.9		
bej	rui	B11	1	1	48	6	2.4		
bej	rui	B11	1	1	48	9	4.1		
bej	rui	B11	1	1	49	4	4.6		
bej	rui	B11	1	1	50	4	3.2		
bej	rui	B11	1	1	50	5	4.4		
bej	rui	B11	1	1	50	9	4.3		
bej	rui	B11	1	1	51	10	2.9		
bej	rui	B11	1	1	63	4	1.5		
bej	rui	B11	1	1	68	6	2.2		
bej	rui	B11	1	1	71	5	1		
bej	rui	B11	1	1	72	3	5.4		
bej	rui	B11	1	1	75	9	2.1		
bej	rui	B11	1	1	76	2	2.7		
bej	rui	B11	1	1	90	10	3		
bej	rui	B11	1	1	97	1	3.5		
bej	rui	B11	1	1	97	4	4		
bej	rui	B11	1	1	97	6	3.3		
bej	rui	B11	1	1	97	7	4.3		
bej	rui	B12	1	1	1	5	3.8		
bej	rui	B12	1	1	2	8	3.1		
bej	rui	B12	1	1	3	10	2.4		
bej	rui	B12	1	1	16	2	5.3		
bej	rui	B12	1	1	20	4	4.5		
bej	rui	B12	1	1	29	4	5.6		
bej	rui	B12	1	1	30	2	3.2		
bej	rui	B12	1	1	63	9	2.5		
bej	rui	B12	1	1	68	2	2.2		
bej	rui	B12	1	1	87	5	5		
bej	rui	B12	1	1	87	10	4.4		
bej	rui	B9	1	1	1	6	4.7		
bej	rui	B9	1	1	2	3	1.7		
bej	rui	B9	1	1	2	8	4.1		
bej	rui	B9	1	1	2	10	4.4		
bej	rui	B9	1	1	6	7	6.9		
bej	rui	B9	1	1	7	1	2.1		
bej	rui	B9	1	1	7	9	4.5		
bej	rui	B9	1	1	10	2	2.7		
bej	rui	B9	1	1	11	2	5.8		
bej	rui	B9	1	1	12	5	5.9		
bej	rui	B9	1	1	13	4	3.6		
bej	rui	B9	1	1	13	8	2.7		
bej	rui	B9	1	1	14	1	8.4		
bej	rui	B9	1	1	14	2	7.5		
bej	rui	B9	1	1	14	3	4.7		
bej	rui	B9	1	1	14	7	3.8		
bej	rui	B9	1	1	14	9	6.6		
bej	rui	B9	1	1	14	10	1.3		
bej	rui	B9	1	1	15	1	3.9		
bej	rui	B9	1	1	17	8	4.3		
bej	rui	B9	1	1	18	1	2.1		
bej	rui	B9	1	1	18	3	4.4		
bej	rui	B9	1	1	18	6	2.4		
bej	rui	B9	1	1	19	4	3.2		
bej	rui	B9	1	1	21	3	2.5		
bej	rui	B9	1	1	21	4	4.5		
bej	rui	B9	1	1	21	8	6		
bej	rui	B9	1	1	22	3	2.8		
bej	rui	B9	1	1	22	8	2.9		
bej	rui	B9	1	1	22	10	3.8		
bej	rui	B9	1	1	23	6	1.9		
bej	rui	B9	1	1	23	9	6		
bej	rui	B9	1	1	24	1	4.2		
bej	rui	B9	1	1	26	4	5.5		
bej	rui	B9	1	1	26	7	5.5		
bej	rui	B9	1	1	28	6	5		
bej	rui	B9	1	1	29	3	5.7		
bej	rui	B9	1	1	31	2	5.3		
bej	rui	B9	1	1	32	2	4		
bej	rui	B9	1	1	32	9	5.2		
bej	rui	B9	1	1	32	10	4.8		
bej	rui	B9	1	1	33	3	5.5		
bej	rui	B9	1	1	33	4	6.2		
bej	rui	B9	1	1	33	7	4.3		
bej	rui	B9	1	1	33	9	3.8		
bej	rui	B9	1	1	34	4	1.2		
bej	rui	B9	1	1	34	5	6.5		
bej	rui	B9	1	1	35	1	4.9		
bej	rui	B9	1	1	35	5	5		
bej	rui	B9	1	1	37	4	4.1		
bej	rui	B9	1	1	37	5	3.6		
bej	rui	B9	1	1	39	2	4.2		
bej	rui	B9	1	1	39	4	4.3		
bej	rui	B9	1	1	39	7	3.5		
bej	rui	B9	1	1	39	9	5.5		
bej	rui	B9	1	1	40	2	7		
bej	rui	B9	1	1	40	5	5.2		
bej	rui	B9	1	1	40	6	5.5		
bej	rui	B9	1	1	40	8	2.5		
bej	rui	B9	1	1	40	10	1.9		
bej	rui	B9	1	1	41	5	6.7		
bej	rui	B9	1	1	41	1	3.4		
bej	rui	B9	1	1	42	2	4		
bej	rui	B9	1	1	42	3	6.6		
bej	rui	B9	1	1	42	4	5.4		
bej	rui	B9	1	1	42	7	6.2		
bej	rui	B9	1	1	43	3	5.5		
bej	rui	B9	1	1	43	5	4		
bej	rui	B9	1	1	43	7	4		
bej	rui	B9	1	1	45	1	4.2		
bej	rui	B9	1	1	45	2	5.5		
bej	rui	B9	1	1	46	2	6		
bej	rui	B9	1	1	46	3	5		
bej	rui	B9	1	1	46	6	5.4		
bej	rui	B9	1	1	46	7	4.3		
bej	rui	B9	1	1	46	9	3.2		
bej	rui	B9	1	1	47	3	2.9		
bej	rui	B9	1	1	48	1	4.3		
bej	rui	B9	1	1	48	2	5.2		
bej	rui	B9	1	1	51	1	5.8		
bej	rui	B9	1	1	51	2	5.2		
bej	rui	B9	1	1	51	6	4.1		
bej	rui	B9	1	1	51	10	5.2		
bej	rui	B9	1	1	55	4	1.9		
bej	rui	B9	1	1	56	3	3.9		
bej	rui	B9	1	1	56	4	5.1		
bej	rui	B9	1	1	56	7	5.8		
bej	rui	B9	1	1	56	8	4.5		
bej	rui	B9	1	1	57	8	35		
bej	rui	B9	1	1	58	2	4.2		
bej	rui	B9	1	1	58	7	5.9		
bej	rui	B9	1	1	58	8	4		
bej	rui	B9	1	1	58	9	6.1		
bej	rui	B9	1	1	59	2	3.4		
bej	rui	B9	1	1	59	3	4		
bej	rui	B9	1	1	59	1	5.9		
bej	rui	B9	1	1	61	2	7.1		
bej	rui	B9	1	1	61	3	6.7		
bej	rui	B9	1	1	61	4	10.8		
bej	rui	B9	1	1	61	6	5.8		
bej	rui	B9	1	1	61	8	7.2		
bej	rui	B9	1	1	63	1	4.5		
bej	rui	B9	1	1	63	8	1.5		
bej	rui	B9	1	1	63	10	3.1		
bej	rui	B9	1	1	64	7	1.8		
bej	rui	B9	1	1	64	1	6.2		
bej	rui	B9	1	1	65	1	3		
bej	rui	B9	1	1	65	3	5.3		
bej	rui	B9	1	1	65	6	6.3		
bej	rui	B9	1	1	65	10	3.7		
bej	rui	B9	1	1	66	10	3.6		
bej	rui	B9	1	1	67	4	4.7		
bej	rui	B9	1	1	67	5	2.6		
bej	rui	B9	1	1	68	2	2.7		
bej	rui	B9	1	1	69	4	3.3		
bej	rui	B9	1	1	69	6	4		
bej	rui	B9	1	1	69	7	4.5		
bej	rui	B9	1	1	70	10	3.5		
bej	rui	B9	1	1	71	7	3.6		
bej	rui	B9	1	1	72	4	3.3		
bej	rui	B9	1	1	72	8	3.1		
bej	rui	B9	1	1	73	5	4.9		
bej	rui	B9	1	1	74	1	3.4		
bej	rui	B9	1	1	74	6	6.1		
bej	rui	B9	1	1	75	4	3.3		
bej	rui	B9	1	1	78	2	3.3		
bej	rui	B9	1	1	78	4	5.6		
bej	rui	B9	1	1	78	6	3.5		
bej	rui	B9	1	1	78	9	4.8		
bej	rui	B9	1	1	80	7	4.5		
bej	rui	B9	1	1	81	6	3.6		
bej	rui	B9	1	1	81	1	2.4		
bej	rui	B9	1	1	82	9	4.9		
bej	rui	B9	1	1	84	2	2		
bej	rui	B9	1	1	85	2	2.9		
bej	rui	B9	1	1	86	3	3		
bej	rui	B9	1	1	86	9	6.6		
bej	rui	B9	1	1	87	3	7.2		
bej	rui	B9	1	1	87	4	7.1		
bej	rui	B9	1	1	87	7	3		
bej	rui	B9	1	1	90	2	4.5		
bej	rui	B9	1	1	90	6	4.4		
bej	rui	B9	1	1	90	8	5		
bej	rui	B9	1	1	90	9	5.4		
bej	rui	B9	1	1	90	10	2.2		
bej	rui	B9	1	1	92	4	3.4		
bej	rui	B9	1	1	92	5	3.1		
bej	rui	B9	1	1	92	9	2.8		
bej	rui	B9	1	1	94	1	2.9		
bej	rui	B9	1	1	94	4	2.9		
