nail	mother	father	seeds	pop	blo
1	mor 69	neg 17	10	mor	B1
2	mor 30	neg 17	10	mor	B1
3	mor 31	neg 11	10	mor	B1
4	mor 72	neg 13	10	mor	B1
5	mor 71	agi 35	10	mor	B1
6	mor 27	mor 71	10	mor	B1
7	mor 29	zon 22	10	mor	B1
8	mor 66	mor 28	9	mor	B1
9	mor 28	neg 17	10	mor	B1
10	mor 58	agi 35	10	mor	B1
11	mor 73	mor 31	10	mor	B1
12	mor 73	pen 29	10	mor	B1
13	mor 38	neg 17	10	mor	B1
14	mor 52	neg 72	10	mor	B1
15	mor 73	agi 23	10	mor	B1
16	mor 72	pen 29	10	mor	B1
17	mor 76	agi 18	10	mor	B1
18	mor 39	mor 62	10	mor	B1
19	mor 58	neg 14	10	mor	B1
20	mor 69	naj 67	10	mor	B1
21	mor 52	neg 25	10	mor	B1
22	mor 62	rui 23	10	mor	B1
23	mor 78	agi 39	9	mor	B1
24	mor 29	agi 11	10	mor	B1
25	mor 74	naj 55	10	mor	B1
26	mor 52	rui 23	10	mor	B1
27	mor 57	mor 28	10	mor	B1
28	mor 57	neg 25	10	mor	B1
29	mor 68	pen 17	10	mor	B1
30	mor 31	naj 73	10	mor	B1
31	mor 31	pen 27	10	mor	B1
32	mor 57	naj 83	10	mor	B1
33	mor 75	zon 5	10	mor	B1
34	mor 80	neg 18	10	mor	B1
35	mor 26	rui 36	10	mor	B1
36	mor 76	pen 27	10	mor	B1
37	mor 31	rui 20	10	mor	B1
38	mor 78	pen 8	10	mor	B1
39	mor 69	agi 11	10	mor	B1
40	mor 72	agi 35	10	mor	B1
41	mor 70	mor 69	10	mor	B1
42	mor 30	rui 20	10	mor	B1
43	mor 39	pen 27	10	mor	B1
44	mor 29	pen 27	10	mor	B1
45	mor 22	pen 17	10	mor	B1
46	mor 78	mor 27	10	mor	B1
47	mor 71	pen 29	10	mor	B1
48	mor 22	neg 14	10	mor	B1
49	mor 75	pen 34	10	mor	B1
50	mor 82	pen 8	10	mor	B1
51	mor 64	mor 70	10	mor	B1
52	mor 81	naj 83	10	mor	B1
53	mor 31	mor 78	10	mor	B1
54	mor 75	naj 44	10	mor	B1
56	mor 80	agi 35	10	mor	B1
57	mor 82	neg 11	10	mor	B1
58	mor 26	zon 22	10	mor	B1
59	mor 30	mor 22	10	mor	B1
60	mor 81	rui 23	10	mor	B1
61	mor 76	neg 27	10	mor	B1
62	mor 72	naj 80	10	mor	B1
63	mor 74	mor 79	10	mor	B1
64	mor 70	naj 72	10	mor	B1
65	mor 7	pen 31	10	mor	B1
66	mor 29	naj 67	10	mor	B1
67	mor 52	mor 57	10	mor	B1
68	mor 75	mor 29	10	mor	B1
69	mor 82	naj 80	10	mor	B1
70	mor 38	naj 75	10	mor	B1
71	mor 70	rui 10	10	mor	B1
72	mor 82	mor 69	10	mor	B1
73	mor 75	agi 41	10	mor	B1
74	mor 68	naj 78	10	mor	B1
75	mor 72	neg 14	10	mor	B1
77	mor 66	naj 73	8	mor	B1
78	mor 28	pen 27	10	mor	B1
76	mor 72	mor 29	10	mor	B1
79	mor 80	naj 83	10	mor	B1
80	mor 28	naj 69	10	mor	B1
81	mor 58	pen 17	10	mor	B1
82	mor 57	rui 3	10	mor	B1
83	mor 28	rui 23	10	mor	B1
84	mor 70	pen 29	10	mor	B1
85	mor 27	agi 36	10	mor	B1
86	mor 57	pen 29	10	mor	B1
87	mor 26	mor 69	10	mor	B1
88	mor 76	mor 22	10	mor	B1
89	mor 73	neg 3	10	mor	B1
90	mor 22	naj 78	10	mor	B1
91	mor 68	mor 22	10	mor	B1
92	mor 75	neg 5	10	mor	B1
93	mor 75	neg 3	10	mor	B1
