"id" "Montaña" "Poblacion" "Cruce" "Madre" "Padre" "binomial"
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 0
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A1" "Bejar" "AGI" 1 "AGI 45" "AGI 11" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 0
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 0
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 0
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 0
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 0
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 0
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A10" "Bejar" "AGI" 1 "AGI 25" "AGI 6" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 1
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A100" "Gredos" "CAM" 5 "CAM 67" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 0
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A101" "Gredos" "CAM" 5 "CAM 68" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 0
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 1
"A102" "Gredos" "CAM" 5 "CAM 69" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 0
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A103" "Gredos" "CAM" 5 "CAM 71" "PEÑ 32" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 0
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 0
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 0
"A104" "Gredos" "CAM" 5 "CAM 75" "PEÑ 28" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 1
"A105" "Gredos" "CAM" 5 "CAM 76" "PEÑ 17" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 1
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 1
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 1
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A106" "Gredos" "CAM" 5 "CAM 80" "PEÑ 27" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 0
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A107" "Gredos" "CAM" 5 "CAM 81" "PEÑ 28" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 0
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A108" "Gredos" "CAM" 5 "CAM 86" "PEÑ 32" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 1
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
"A109" "Gredos" "CAM" 5 "CAM 87" "PEÑ 27" 0
