Montaña	Poblacion	Cruce	Madre	Padre	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	seeds	seedlings
Bejar	AGI	1	AGI 45	AGI 11	0	2	2	0	0	7	0	0	0	1	0	1	0	0	0	0	24	13
Bejar	AGI	1	AGI 5	AGI 12	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	24	3
Bejar	AGI	1	AGI 44	AGI 18	5	2	3	0	0	1	1	0	0	0	0	0	0	0	0	0	24	12
Bejar	AGI	1	AGI 46	AGI 25	0	1	1	0	0	1	7	1	0	3	0	0	0	0	0	0	24	14
Bejar	AGI	1	AGI 14	AGI 37	0	2	0	0	0	0	2	0	0	2	1	0	0	0	0	0	12	7
Bejar	AGI	1	AGI 6	AGI 39	0	0	1	0	0	0	5	0	2	1	1	0	0	0	0	0	12	10
Bejar	AGI	1	AGI 41	AGI 43	0	0	1	3	0	0	3	0	0	1	1	0	0	0	0	0	24	9
Bejar	AGI	1	AGI 38	AGI 48	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	24	6
Bejar	AGI	1	AGI 50	AGI 5	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	1	24	6
Bejar	AGI	1	AGI 25	AGI 6	6	1	0	0	0	3	7	0	0	0	0	0	0	0	1	0	24	18
Bejar	AGI	1	AGI 39	AGI 6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	24	2
Bejar	AGI	1	AGI 41	AGI 43	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	24	3
Bejar	AGI	4	AGI 45	MOR 22	0	2	0	0	1	2	4	1	0	0	0	0	0	0	0	0	24	10
Bejar	AGI	4	AGI 50	MOR 27	0	2	0	0	0	1	7	2	3	0	0	0	0	0	0	0	22	15
Bejar	AGI	4	AGI 5	MOR 28	0	0	0	0	0	0	2	2	0	2	1	0	0	0	0	0	24	7
Bejar	AGI	4	AGI 9	MOR 52	0	0	0	4	0	6	6	0	0	0	0	0	0	0	0	0	24	16
Bejar	AGI	4	AGI 44	MOR 69	0	3	0	0	0	0	7	1	0	3	0	1	0	0	0	0	24	15
Bejar	AGI	4	AGI 22	MOR 75	0	1	0	0	0	0	0	1	2	1	1	1	0	0	0	0	24	7
Bejar	AGI	4	AGI 41	MOR 78	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	24	5
Bejar	AGI	4	AGI 12	NAJ 72	0	1	0	0	0	0	5	0	1	5	0	1	0	0	0	0	24	13
Bejar	AGI	4	AGI 37	NAJ 80	0	5	5	0	0	3	3	0	0	0	0	0	0	0	0	0	24	16
Bejar	AGI	4	AGI 20	NAJ 82	0	0	0	0	0	1	4	1	0	0	1	0	1	0	0	0	24	8
Bejar	AGI	4	AGI 38	MOR 84	2	4	1	3	0	2	5	1	0	0	0	0	0	0	0	0	24	18
Bejar	AGI	4	AGI 6	NAJ 84	10	3	0	0	0	3	2	0	0	1	0	0	0	0	0	0	24	19
Bejar	AGI	3	AGI 31	NEG 18	6	4	0	0	0	0	6	0	0	1	0	0	0	0	0	0	24	17
Bejar	AGI	3	AGI 47	NEG 18	1	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	12	10
Bejar	AGI	3	AGI 37	NEG 23	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	10	3
Bejar	AGI	3	AGI 11	NEG 25	1	2	0	0	0	0	5	3	1	2	0	0	0	0	0	0	24	14
Bejar	AGI	3	AGI 41	NEG 25	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7
Bejar	AGI	3	AGI 6	NEG 25	4	1	0	0	0	1	5	1	2	2	0	0	0	0	0	0	24	16
Bejar	AGI	3	AGI 42	NEG 27	1	2	0	1	0	5	1	0	0	0	0	0	0	0	0	0	12	10
Bejar	AGI	3	AGI 38	NEG 3	0	3	0	0	0	2	6	0	2	2	0	0	2	0	0	0	24	17
Bejar	AGI	3	AGI 39	NEG 3	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	24	13
Bejar	AGI	3	AGI 9	NEG 3	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	24	12
Bejar	AGI	5	AGI 38	PEÑ 23	18	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	24	23
Bejar	AGI	5	AGI 31	PEÑ 15	10	6	0	0	0	5	1	0	0	0	0	0	0	0	0	0	24	22
Bejar	AGI	5	AGI 47	PEÑ 15	4	2	0	0	0	5	8	1	1	0	0	0	0	0	0	0	24	21
Bejar	AGI	5	AGI 37	PEÑ 17	0	1	3	1	2	9	4	0	0	0	0	0	0	0	0	0	24	20
Bejar	AGI	5	AGI 48	PEÑ 17	6	4	0	0	0	1	8	1	1	0	0	0	0	1	0	0	24	22
Bejar	AGI	5	AGI 9	PEÑ 17	2	0	0	3	0	6	6	1	2	0	0	0	0	0	0	0	24	20
Bejar	AGI	5	AGI 6	PEÑ 19	0	1	0	0	0	0	6	0	3	1	0	0	0	0	0	0	24	11
Bejar	AGI	5	AGI 25	PEÑ 30	1	5	1	0	0	0	4	0	1	1	0	0	0	0	0	0	24	13
Bejar	AGI	5	AGI 11	PEÑ 32	0	1	0	1	0	7	5	3	0	0	0	0	0	0	0	0	24	17
Bejar	AGI	5	AGI 5	PEÑ 32	0	1	0	0	0	6	4	2	0	0	1	0	0	0	0	0	24	14
Bejar	AGI	2	AGI 39	RUI 20	0	0	0	0	0	0	8	1	0	2	4	1	0	0	0	1	24	17
Bejar	AGI	2	AGI 25	RUI 21	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	24	8
Bejar	AGI	2	AGI 36	RUI 23	0	0	2	0	0	5	9	1	0	0	2	0	0	0	0	0	24	19
Bejar	AGI	2	AGI 43	RUI 23	0	0	0	0	0	1	13	3	0	3	1	0	1	0	0	0	24	22
Bejar	AGI	2	AGI 44	RUI 23	0	0	1	0	0	0	9	0	1	0	2	0	0	0	0	0	16	13
Bejar	AGI	2	AGI 48	RUI 23	2	0	0	0	0	4	7	3	0	0	1	1	0	0	0	0	24	18
Bejar	AGI	2	AGI 47	RUI 3	0	0	0	0	0	0	11	1	2	1	1	1	0	0	0	0	24	17
Bejar	AGI	2	AGI 12	RUI 39	1	4	0	0	0	2	2	0	0	1	0	0	0	0	0	0	24	10
Bejar	AGI	2	AGI 49	RUI 39	0	0	1	0	0	0	0	4	0	1	1	0	0	0	0	0	24	7
Bejar	AGI	2	AGI 50	RUI 39	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	8	6
Bejar	AGI	2	AGI 9	RUI 46	0	1	0	0	0	0	9	0	0	0	1	0	1	0	0	0	24	12
Bejar	AGI	5	AGI 44	ZON 6	5	0	3	0	0	1	0	1	2	2	0	0	0	0	0	0	24	14
Gredos	CAM	1	CAM 28	CAM 31	16	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	24	21
Gredos	CAM	1	CAM 67	CAM 34	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	9	2
Gredos	CAM	1	CAM 68	CAM 66	8	4	0	0	0	1	4	0	2	0	0	0	0	0	0	0	24	19
Gredos	CAM	1	CAM 76	CAM 66	11	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	19
Gredos	CAM	1	CAM 66	CAM 68	6	5	3	0	0	2	3	1	0	1	0	0	0	0	0	0	24	21
Gredos	CAM	1	CAM 93	CAM 68	0	6	0	1	0	1	6	1	0	1	0	0	0	0	0	0	24	16
Gredos	CAM	1	CAM 32	CAM 69	4	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	11	8
Gredos	CAM	1	CAM 69	CAM 75	6	0	3	0	2	1	4	0	1	1	0	0	0	0	0	0	24	18
Gredos	CAM	1	CAM 71	CAM 76	13	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	24	19
Gredos	CAM	1	CAM 34	CAM 77	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	15	4
